id_movimento_ori;id_movimento_inephos;id_materiale;tipo_materiale;quantita;cod_ingresso_comp;cod_operatore;operazione;procedura_adottata;tipo_mov;descri_mov;dt_mov;silo;peso_teorico;id_ciclo;dt_inizio_procedura;dt_fine_procedura;abilitato;origine_mov;info1;info2;info3;info4;info5;info6;info7;info8;info9;info10
;;188;;1000;49-20;;;;;;23/07/21;J;;;;;1;;MP.CA1076;OMYACARB 5/AV IN BIG BAG;;;;;;;;
;;146;;1200;04-21;;;;;;23/07/21;G;;;;;1;;MP.CA1915;SABBIA SILICEA 0,1 - 0,5 mm;;;;;;;;
